,Year,Area,Count
186,1948,South West Europe,0.0
187,1948,Southern Africa,0.0
188,1948,Southern Europe,0.0
189,1948,West Indies,0.0
190,1948,Western Africa,0.0
191,1948,Western Europe,4.0
192,1950,Central Africa,0.0
193,1950,Central America,2.0
194,1950,Central Asia,0.0
195,1950,Central Europe,2.0
196,1950,East Asia,2.0
197,1950,Eastern Africa,0.0
198,1950,Eastern Europe,0.0
199,1950,Indian Ocean,0.0
200,1950,North America,4.0
201,1950,Northern Africa,0.0
202,1950,Northern Asia,0.0
203,1950,Northern Europe,0.0
204,1950,Pacific,0.0
205,1950,South America,0.0
206,1950,South Asia,0.0
207,1950,South East Asia,0.0
208,1950,South East Europe,0.0
209,1950,South West Asia,1.0
210,1950,South West Europe,0.0
211,1950,Southern Africa,0.0
212,1950,Southern Europe,0.0
213,1950,West Indies,0.0
214,1950,Western Africa,0.0
215,1950,Western Europe,4.0
216,1951,Central Africa,0.0
217,1951,Central America,2.0
218,1951,Central Asia,0.0
219,1951,Central Europe,2.0
220,1951,East Asia,2.0
221,1951,Eastern Africa,0.0
222,1951,Eastern Europe,0.0
223,1951,Indian Ocean,0.0
224,1951,North America,6.0
225,1951,Northern Africa,0.0
226,1951,Northern Asia,0.0
227,1951,Northern Europe,0.0
228,1951,Pacific,0.0
229,1951,South America,0.0
230,1951,South Asia,0.0
231,1951,South East Asia,0.0
232,1951,South East Europe,0.0
233,1951,South West Asia,1.0
234,1951,South West Europe,0.0
235,1951,Southern Africa,0.0
236,1951,Southern Europe,0.0
237,1951,West Indies,0.0
238,1951,Western Africa,0.0
239,1951,Western Europe,5.0
240,1952,Central Africa,0.0
241,1952,Central America,2.0
242,1952,Central Asia,0.0
243,1952,Central Europe,2.0
244,1952,East Asia,3.0
245,1952,Eastern Africa,0.0
246,1952,Eastern Europe,0.0
247,1952,Indian Ocean,0.0
248,1952,North America,8.0
249,1952,Northern Africa,0.0
250,1952,Northern Asia,0.0
251,1952,Northern Europe,0.0
252,1952,Pacific,0.0
253,1952,South America,1.0
254,1952,South Asia,0.0
255,1952,South East Asia,0.0
256,1952,South East Europe,0.0
257,1952,South West Asia,1.0
258,1952,South West Europe,0.0
259,1952,Southern Africa,0.0
260,1952,Southern Europe,0.0
261,1952,West Indies,0.0
262,1952,Western Africa,0.0
263,1952,Western Europe,6.0
264,1953,Central Africa,0.0
265,1953,Central America,2.0
266,1953,Central Asia,0.0
267,1953,Central Europe,2.0
268,1953,East Asia,3.0
269,1953,Eastern Africa,0.0
270,1953,Eastern Europe,0.0
271,1953,Indian Ocean,0.0
272,1953,North America,10.0
273,1953,Northern Africa,0.0
274,1953,Northern Asia,0.0
275,1953,Northern Europe,0.0
276,1953,Pacific,0.0
277,1953,South America,1.0
278,1953,South Asia,0.0
279,1953,South East Asia,0.0
280,1953,South East Europe,0.0
281,1953,South West Asia,1.0
282,1953,South West Europe,0.0
283,1953,Southern Africa,0.0
284,1953,Southern Europe,0.0
285,1953,West Indies,0.0
286,1953,Western Africa,0.0
287,1953,Western Europe,6.0
288,1954,Central Africa,0.0
289,1954,Central America,2.0
290,1954,Central Asia,0.0
291,1954,Central Europe,2.0
292,1954,East Asia,3.0
293,1954,Eastern Africa,0.0
294,1954,Eastern Europe,0.0
295,1954,Indian Ocean,0.0
296,1954,North America,12.0
297,1954,Northern Africa,0.0
298,1954,Northern Asia,0.0
299,1954,Northern Europe,0.0
300,1954,Pacific,0.0
301,1954,South America,1.0
302,1954,South Asia,0.0
303,1954,South East Asia,0.0
304,1954,South East Europe,0.0
305,1954,South West Asia,1.0
306,1954,South West Europe,0.0
307,1954,Southern Africa,0.0
308,1954,Southern Europe,0.0
309,1954,West Indies,0.0
310,1954,Western Africa,0.0
311,1954,Western Europe,8.0
312,1955,Central Africa,0.0
313,1955,Central America,2.0
314,1955,Central Asia,0.0
315,1955,Central Europe,2.0
316,1955,East Asia,3.0
317,1955,Eastern Africa,0.0
318,1955,Eastern Europe,0.0
319,1955,Indian Ocean,0.0
320,1955,North America,13.0
321,1955,Northern Africa,0.0
322,1955,Northern Asia,0.0
323,1955,Northern Europe,0.0
324,1955,Pacific,0.0
325,1955,South America,1.0
326,1955,South Asia,0.0
327,1955,South East Asia,0.0
328,1955,South East Europe,0.0
329,1955,South West Asia,1.0
330,1955,South West Europe,0.0
331,1955,Southern Africa,0.0
332,1955,Southern Europe,0.0
333,1955,West Indies,0.0
334,1955,Western Africa,0.0
335,1955,Western Europe,10.0
336,1956,Central Africa,0.0
337,1956,Central America,2.0
338,1956,Central Asia,0.0
339,1956,Central Europe,2.0
340,1956,East Asia,3.0
341,1956,Eastern Africa,0.0
342,1956,Eastern Europe,0.0
343,1956,Indian Ocean,0.0
344,1956,North America,14.0
345,1956,Northern Africa,1.0
346,1956,Northern Asia,0.0
347,1956,Northern Europe,0.0
348,1956,Pacific,0.0
349,1956,South America,1.0
350,1956,South Asia,0.0
351,1956,South East Asia,0.0
352,1956,South East Europe,0.0
353,1956,South West Asia,1.0
354,1956,South West Europe,0.0
355,1956,Southern Africa,0.0
356,1956,Southern Europe,0.0
357,1956,West Indies,0.0
358,1956,Western Africa,0.0
359,1956,Western Europe,10.0
360,1957,Central Africa,0.0
361,1957,Central America,2.0
362,1957,Central Asia,0.0
363,1957,Central Europe,2.0
364,1957,East Asia,3.0
365,1957,Eastern Africa,0.0
366,1957,Eastern Europe,0.0
367,1957,Indian Ocean,0.0
368,1957,North America,14.0
369,1957,Northern Africa,1.0
370,1957,Northern Asia,0.0
371,1957,Northern Europe,0.0
372,1957,Pacific,0.0
373,1957,South America,1.0
374,1957,South Asia,0.0
375,1957,South East Asia,0.0
376,1957,South East Europe,0.0
377,1957,South West Asia,1.0
378,1957,South West Europe,0.0
379,1957,Southern Africa,0.0
380,1957,Southern Europe,0.0
381,1957,West Indies,0.0
382,1957,Western Africa,0.0
383,1957,Western Europe,11.0
384,1958,Central Africa,0.0
385,1958,Central America,2.0
386,1958,Central Asia,0.0
387,1958,Central Europe,2.0
388,1958,East Asia,3.0
389,1958,Eastern Africa,0.0
390,1958,Eastern Europe,0.0
391,1958,Indian Ocean,0.0
392,1958,North America,15.0
393,1958,Northern Africa,1.0
394,1958,Northern Asia,0.0
395,1958,Northern Europe,0.0
396,1958,Pacific,1.0
397,1958,South America,1.0
398,1958,South Asia,0.0
399,1958,South East Asia,0.0
400,1958,South East Europe,0.0
401,1958,South West Asia,1.0
402,1958,South West Europe,0.0
403,1958,Southern Africa,0.0
404,1958,Southern Europe,0.0
405,1958,West Indies,0.0
406,1958,Western Africa,0.0
407,1958,Western Europe,11.0
408,1959,Central Africa,0.0
409,1959,Central America,3.0
410,1959,Central Asia,0.0
411,1959,Central Europe,2.0
412,1959,East Asia,3.0
413,1959,Eastern Africa,0.0
414,1959,Eastern Europe,0.0
415,1959,Indian Ocean,0.0
416,1959,North America,15.0
